Date,Region,Product,UnitsSold,Revenue,Discount,Profit,Customer Name,Customer ID,Unnamed: 9,Postal Code,Product ID,Order ID,Row ID,Ship Mode,Ship Date,Segment,Category,Sub-Category,Country,State,City
01-03-2021,South,Electronics,62,85746,10,20489.61,Customer 37,CUST-1036,,692438,PROD-2036,ORD-3036,37,Second Class,29-01-2024,Consumer,Office Supplies,Binders,India,Andhra Pradesh,Vijayawada
01-03-2021,South,Clothing,333,258741,5,67692.88,Customer 38,CUST-1037,,577798,PROD-2037,ORD-3037,38,Standard Class,30-01-2024,Home Office,Furniture,Binders,India,Chhattisgarh,Bilaspur
01-03-2021,South,Furniture,490,593880,15,154844.95,Customer 39,CUST-1038,,557730,PROD-2038,ORD-3038,39,First Class,14-01-2024,Corporate,Technology,Binders,India,Jharkhand,Jamshedpur
01-03-2021,South,Groceries,93,145359,10,23965.19,Customer 40,CUST-1039,,933960,PROD-2039,ORD-3039,40,First Class,08-01-2024,Corporate,Furniture,Tables,India,Assam,Silchar
01-03-2021,East,Electronics,397,673312,0,103977.18,Customer 41,CUST-1040,,197649,PROD-2040,ORD-3040,41,Same Day,19-01-2024,Consumer,Furniture,Storage,India,Himachal Pradesh,Solan
01-03-2021,East,Clothing,332,276224,15,47100.0,Customer 42,CUST-1041,,170306,PROD-2041,ORD-3041,42,Same Day,28-01-2024,Home Office,Technology,Accessories,India,Uttarakhand,Haridwar
01-03-2021,East,Furniture,308,487256,10,89402.8,Customer 43,CUST-1042,,400186,PROD-2042,ORD-3042,43,Same Day,04-01-2024,Corporate,Technology,Accessories,India,Goa,Margao
01-03-2021,East,Groceries,214,309872,10,47683.87,Customer 44,CUST-1043,,880266,PROD-2043,ORD-3043,44,First Class,13-01-2024,Home Office,Office Supplies,Binders,India,Sikkim,Namchi
01-03-2021,West,Electronics,201,320997,0,58025.74,Customer 45,CUST-1044,,561234,PROD-2044,ORD-3044,45,Same Day,20-01-2024,Consumer,Technology,Binders,India,Maharashtra,Nagpur
01-03-2021,West,Clothing,367,631240,5,184631.05,Customer 46,CUST-1045,,652144,PROD-2045,ORD-3045,46,Second Class,29-01-2024,Consumer,Technology,Accessories,India,Karnataka,Mangaluru
01-03-2021,West,Furniture,344,553496,10,88656.59,Customer 47,CUST-1046,,446559,PROD-2046,ORD-3046,47,Same Day,17-01-2024,Consumer,Furniture,Accessories,India,Tamil Nadu,Madurai
01-03-2021,West,Groceries,162,186462,0,28595.1,Customer 48,CUST-1047,,652831,PROD-2047,ORD-3047,48,Same Day,12-01-2024,Consumer,Technology,Tables,India,Kerala,Kozhikode
01-04-2021,North,Electronics,51,42891,15,4730.7,Customer 49,CUST-1048,,555712,PROD-2048,ORD-3048,49,Standard Class,15-01-2024,Home Office,Furniture,Accessories,India,Gujarat,Vadodara
01-04-2021,North,Clothing,273,395304,0,58470.35,Customer 50,CUST-1049,,245005,PROD-2049,ORD-3049,50,Second Class,30-01-2024,Corporate,Office Supplies,Binders,India,Rajasthan,Jodhpur
01-04-2021,North,Furniture,179,228404,15,43295.49,Customer 51,CUST-1050,,828160,PROD-2050,ORD-3050,51,Same Day,02-01-2024,Corporate,Furniture,Phones,India,Punjab,Jalandhar
01-04-2021,North,Groceries,247,404833,15,47029.72,Customer 52,CUST-1051,,887184,PROD-2051,ORD-3051,52,Second Class,20-01-2024,Home Office,Technology,Storage,India,Haryana,Panipat
01-04-2021,South,Electronics,233,75026,0,18429.63,Customer 53,CUST-1052,,708400,PROD-2052,ORD-3052,53,Standard Class,13-01-2024,Consumer,Office Supplies,Storage,India,Uttar Pradesh,Noida
01-04-2021,South,Clothing,329,356307,5,80776.91,Customer 54,CUST-1053,,631170,PROD-2053,ORD-3053,54,First Class,29-01-2024,Consumer,Technology,Phones,India,Madhya Pradesh,Gwalior
01-04-2021,South,Furniture,444,769896,0,100196.97,Customer 55,CUST-1054,,831363,PROD-2054,ORD-3054,55,Second Class,15-01-2024,Consumer,Furniture,Tables,India,Bihar,Bhagalpur
01-04-2021,South,Groceries,236,365564,20,99313.42,Customer 56,CUST-1055,,700574,PROD-2055,ORD-3055,56,First Class,13-01-2024,Consumer,Technology,Accessories,India,West Bengal,Durgapur
01-04-2021,East,Electronics,301,347354,15,35887.77,Customer 57,CUST-1056,,859328,PROD-2056,ORD-3056,57,First Class,22-01-2024,Consumer,Furniture,Accessories,India,Odisha,Rourkela
01-04-2021,East,Clothing,196,268716,15,77418.33,Customer 58,CUST-1057,,384819,PROD-2057,ORD-3057,58,Same Day,04-01-2024,Home Office,Office Supplies,Binders,India,Telangana,Nizamabad
01-04-2021,East,Furniture,473,881199,5,235757.76,Customer 59,CUST-1058,,705425,PROD-2058,ORD-3058,59,First Class,17-01-2024,Home Office,Furniture,Binders,India,Andhra Pradesh,Guntur
01-04-2021,East,Groceries,316,212352,5,60507.31,Customer 60,CUST-1059,,422449,PROD-2059,ORD-3059,60,First Class,04-01-2024,Consumer,Technology,Storage,India,Chhattisgarh,Durg
01-04-2021,West,Electronics,347,636398,15,85907.99,Customer 61,CUST-1060,,251051,PROD-2060,ORD-3060,61,Same Day,22-01-2024,Consumer,Office Supplies,Binders,India,Jharkhand,Dhanbad
01-04-2021,West,Clothing,161,195776,15,40316.17,Customer 62,CUST-1061,,960898,PROD-2061,ORD-3061,62,Second Class,07-01-2024,Corporate,Office Supplies,Accessories,India,Assam,Dibrugarh
01-04-2021,West,Furniture,51,55896,15,11830.87,Customer 63,CUST-1062,,433952,PROD-2062,ORD-3062,63,Second Class,26-01-2024,Consumer,Technology,Chairs,India,Himachal Pradesh,Dharamshala
01-04-2021,West,Groceries,209,253726,0,39523.98,Customer 64,CUST-1063,,680240,PROD-2063,ORD-3063,64,First Class,02-01-2024,Home Office,Office Supplies,Binders,India,Uttarakhand,Haldwani
01-05-2021,North,Electronics,196,198940,10,53965.43,Customer 65,CUST-1064,,202832,PROD-2064,ORD-3064,65,First Class,02-01-2024,Home Office,Technology,Tables,India,Goa,Vasco da Gama
01-05-2021,North,Clothing,103,138329,0,31595.22,Customer 66,CUST-1065,,297801,PROD-2065,ORD-3065,66,Second Class,13-01-2024,Corporate,Furniture,Binders,India,Sikkim,Gyalshing
01-05-2021,North,Furniture,124,229152,15,64096.3,Customer 67,CUST-1066,,364465,PROD-2066,ORD-3066,67,Standard Class,14-01-2024,Home Office,Furniture,Binders,India,Maharashtra,Mumbai
01-05-2021,North,Groceries,389,176217,10,30742.21,Customer 68,CUST-1067,,107295,PROD-2067,ORD-3067,68,Standard Class,16-01-2024,Home Office,Furniture,Binders,India,Karnataka,Bengaluru
01-05-2021,South,Electronics,148,52096,20,8167.83,Customer 69,CUST-1068,,387668,PROD-2068,ORD-3068,69,Same Day,03-01-2024,Corporate,Office Supplies,Storage,India,Tamil Nadu,Chennai
01-05-2021,South,Clothing,415,222855,5,53123.96,Customer 70,CUST-1069,,913733,PROD-2069,ORD-3069,70,First Class,10-01-2024,Home Office,Technology,Accessories,India,Kerala,Kochi
01-05-2021,South,Furniture,257,297092,0,40162.4,Customer 71,CUST-1070,,517516,PROD-2070,ORD-3070,71,First Class,03-01-2024,Consumer,Technology,Chairs,India,Gujarat,Ahmedabad
01-05-2021,South,Groceries,117,117000,20,15884.45,Customer 72,CUST-1071,,725494,PROD-2071,ORD-3071,72,Second Class,13-01-2024,Corporate,Office Supplies,Accessories,India,Rajasthan,Jaipur
01-05-2021,East,Electronics,433,699295,10,161902.58,Customer 73,CUST-1072,,523101,PROD-2072,ORD-3072,73,Standard Class,11-01-2024,Corporate,Office Supplies,Tables,India,Punjab,Ludhiana
01-05-2021,East,Clothing,82,72734,15,14675.02,Customer 74,CUST-1073,,286829,PROD-2073,ORD-3073,74,Standard Class,23-01-2024,Corporate,Office Supplies,Storage,India,Haryana,Gurugram
01-05-2021,East,Furniture,424,527880,20,104176.29,Customer 75,CUST-1074,,880792,PROD-2074,ORD-3074,75,Second Class,23-01-2024,Corporate,Furniture,Storage,India,Uttar Pradesh,Lucknow
01-05-2021,East,Groceries,313,471378,10,122069.11,Customer 76,CUST-1075,,214198,PROD-2075,ORD-3075,76,Same Day,10-01-2024,Consumer,Technology,Storage,India,Madhya Pradesh,Bhopal
01-05-2021,West,Electronics,335,613720,15,143478.41,Customer 77,CUST-1076,,874250,PROD-2076,ORD-3076,77,Standard Class,19-01-2024,Corporate,Technology,Storage,India,Bihar,Patna
01-05-2021,West,Clothing,366,371490,10,79647.77,Customer 78,CUST-1077,,757774,PROD-2077,ORD-3077,78,Second Class,09-01-2024,Home Office,Furniture,Accessories,India,West Bengal,Kolkata
01-05-2021,West,Furniture,241,306552,0,91631.49,Customer 79,CUST-1078,,221469,PROD-2078,ORD-3078,79,Standard Class,28-01-2024,Corporate,Technology,Binders,India,Odisha,Bhubaneswar
01-05-2021,West,Groceries,207,139932,20,38719.02,Customer 80,CUST-1079,,741555,PROD-2079,ORD-3079,80,Same Day,06-01-2024,Home Office,Furniture,Accessories,India,Telangana,Hyderabad
01-06-2021,North,Electronics,429,844272,20,241177.87,Customer 81,CUST-1080,,873989,PROD-2080,ORD-3080,81,First Class,17-01-2024,Corporate,Office Supplies,Accessories,India,Andhra Pradesh,Visakhapatnam
01-06-2021,North,Clothing,351,133380,10,39489.33,Customer 82,CUST-1081,,309306,PROD-2081,ORD-3081,82,Second Class,15-01-2024,Corporate,Furniture,Phones,India,Chhattisgarh,Raipur
01-06-2021,North,Furniture,165,64350,20,11391.21,Customer 83,CUST-1082,,746542,PROD-2082,ORD-3082,83,First Class,15-01-2024,Home Office,Office Supplies,Storage,India,Jharkhand,Ranchi
01-06-2021,North,Groceries,210,310590,10,41587.55,Customer 84,CUST-1083,,459008,PROD-2083,ORD-3083,84,Second Class,15-01-2024,Consumer,Office Supplies,Tables,India,Assam,Guwahati
01-06-2021,South,Electronics,330,646140,5,184798.22,Customer 85,CUST-1084,,445397,PROD-2084,ORD-3084,85,First Class,10-01-2024,Home Office,Office Supplies,Storage,India,Himachal Pradesh,Shimla
01-06-2021,South,Clothing,223,183975,5,27749.45,Customer 86,CUST-1085,,691113,PROD-2085,ORD-3085,86,Standard Class,09-01-2024,Corporate,Office Supplies,Binders,India,Uttarakhand,Dehradun
01-06-2021,South,Furniture,435,428040,0,54499.88,Customer 87,CUST-1086,,609983,PROD-2086,ORD-3086,87,Standard Class,09-01-2024,Corporate,Technology,Accessories,India,Goa,Panaji
01-06-2021,South,Groceries,295,412705,20,65744.74,Customer 88,CUST-1087,,327850,PROD-2087,ORD-3087,88,Second Class,03-01-2024,Consumer,Furniture,Accessories,India,Sikkim,Gangtok
01-06-2021,East,Electronics,75,84000,20,9770.78,Customer 89,CUST-1088,,366510,PROD-2088,ORD-3088,89,Second Class,13-01-2024,Consumer,Furniture,Binders,India,Maharashtra,Pune
01-06-2021,East,Clothing,440,103400,20,14357.59,Customer 90,CUST-1089,,540512,PROD-2089,ORD-3089,90,Same Day,22-01-2024,Corporate,Technology,Phones,India,Karnataka,Mysuru
01-06-2021,East,Furniture,313,222543,15,61716.39,Customer 91,CUST-1090,,770867,PROD-2090,ORD-3090,91,First Class,20-01-2024,Home Office,Furniture,Chairs,India,Tamil Nadu,Coimbatore
01-06-2021,East,Groceries,192,252480,5,29993.71,Customer 92,CUST-1091,,985647,PROD-2091,ORD-3091,92,Same Day,13-01-2024,Corporate,Furniture,Accessories,India,Kerala,Thiruvananthapuram
01-06-2021,West,Electronics,264,277992,10,53685.7,Customer 93,CUST-1092,,993519,PROD-2092,ORD-3092,93,Second Class,22-01-2024,Consumer,Office Supplies,Chairs,India,Gujarat,Surat
01-06-2021,West,Clothing,112,158256,20,42378.85,Customer 94,CUST-1093,,523503,PROD-2093,ORD-3093,94,Same Day,10-01-2024,Consumer,Technology,Binders,India,Rajasthan,Udaipur
01-06-2021,West,Furniture,107,167455,0,17996.33,Customer 95,CUST-1094,,503124,PROD-2094,ORD-3094,95,First Class,06-01-2024,Consumer,Furniture,Chairs,India,Punjab,Amritsar
01-06-2021,West,Groceries,375,478875,10,60056.72,Customer 96,CUST-1095,,598229,PROD-2095,ORD-3095,96,Second Class,03-01-2024,Consumer,Technology,Accessories,India,Haryana,Faridabad
01-07-2021,North,Electronics,313,399388,15,57178.07,Customer 97,CUST-1096,,979739,PROD-2096,ORD-3096,97,Same Day,08-01-2024,Consumer,Technology,Tables,India,Uttar Pradesh,Kanpur
01-07-2021,North,Clothing,54,71604,15,19218.84,Customer 98,CUST-1097,,821826,PROD-2097,ORD-3097,98,Second Class,14-01-2024,Corporate,Furniture,Binders,India,Madhya Pradesh,Indore
01-07-2021,North,Furniture,421,662233,10,150648.72,Customer 99,CUST-1098,,783435,PROD-2098,ORD-3098,99,Same Day,06-01-2024,Home Office,Technology,Storage,India,Bihar,Gaya
01-07-2021,North,Groceries,357,305235,20,89710.82,Customer 100,CUST-1099,,721537,PROD-2099,ORD-3099,100,Second Class,19-01-2024,Home Office,Office Supplies,Tables,India,West Bengal,Howrah
01-07-2021,South,Electronics,155,293415,10,76005.41,Customer 101,CUST-1100,,445944,PROD-2100,ORD-3100,101,First Class,14-01-2024,Corporate,Technology,Accessories,India,Odisha,Cuttack
01-07-2021,South,Clothing,368,672336,5,77783.41,Customer 102,CUST-1101,,959386,PROD-2101,ORD-3101,102,Second Class,30-01-2024,Home Office,Office Supplies,Binders,India,Telangana,Warangal
01-07-2021,South,Furniture,278,471766,20,54807.22,Customer 103,CUST-1102,,226880,PROD-2102,ORD-3102,103,Second Class,24-01-2024,Consumer,Office Supplies,Phones,India,Andhra Pradesh,Vijayawada
01-07-2021,South,Groceries,176,284416,15,51704.15,Customer 104,CUST-1103,,473302,PROD-2103,ORD-3103,104,Standard Class,08-01-2024,Consumer,Technology,Binders,India,Chhattisgarh,Bilaspur
01-07-2021,East,Electronics,107,89131,0,16798.56,Customer 105,CUST-1104,,574529,PROD-2104,ORD-3104,105,Same Day,22-01-2024,Consumer,Office Supplies,Binders,India,Jharkhand,Jamshedpur
01-07-2021,East,Clothing,145,269845,0,62614.69,Customer 106,CUST-1105,,590353,PROD-2105,ORD-3105,106,Second Class,27-01-2024,Corporate,Office Supplies,Storage,India,Assam,Silchar
01-07-2021,East,Furniture,422,462512,20,114508.44,Customer 107,CUST-1106,,724487,PROD-2106,ORD-3106,107,Second Class,04-01-2024,Consumer,Office Supplies,Phones,India,Himachal Pradesh,Solan
01-07-2021,East,Groceries,496,386880,20,71154.97,Customer 108,CUST-1107,,994935,PROD-2107,ORD-3107,108,Second Class,11-01-2024,Consumer,Office Supplies,Chairs,India,Uttarakhand,Haridwar
01-07-2021,West,Electronics,125,44125,10,11100.49,Customer 109,CUST-1108,,952062,PROD-2108,ORD-3108,109,Standard Class,29-01-2024,Consumer,Furniture,Binders,India,Goa,Margao
01-07-2021,West,Clothing,234,352872,15,38533.81,Customer 110,CUST-1109,,440168,PROD-2109,ORD-3109,110,First Class,13-01-2024,Home Office,Technology,Binders,India,Sikkim,Namchi
01-07-2021,West,Furniture,143,282139,15,38107.4,Customer 111,CUST-1110,,739534,PROD-2110,ORD-3110,111,Second Class,28-01-2024,Corporate,Furniture,Accessories,India,Maharashtra,Nagpur
01-07-2021,West,Groceries,449,187233,5,37132.64,Customer 112,CUST-1111,,999104,PROD-2111,ORD-3111,112,Second Class,07-01-2024,Consumer,Technology,Tables,India,Karnataka,Mangaluru
01-08-2021,North,Electronics,88,161480,0,31155.11,Customer 113,CUST-1112,,717994,PROD-2112,ORD-3112,113,Same Day,21-01-2024,Consumer,Office Supplies,Tables,India,Tamil Nadu,Madurai
01-08-2021,North,Clothing,406,90132,5,20114.76,Customer 114,CUST-1113,,790909,PROD-2113,ORD-3113,114,First Class,12-01-2024,Corporate,Technology,Phones,India,Kerala,Kozhikode
01-08-2021,North,Furniture,374,494802,5,75298.34,Customer 115,CUST-1114,,537821,PROD-2114,ORD-3114,115,Standard Class,13-01-2024,Home Office,Technology,Binders,India,Gujarat,Vadodara
01-08-2021,North,Groceries,443,425723,10,85411.64,Customer 116,CUST-1115,,993589,PROD-2115,ORD-3115,116,Second Class,27-01-2024,Home Office,Furniture,Accessories,India,Rajasthan,Jodhpur
01-08-2021,South,Electronics,306,371790,20,88037.18,Customer 117,CUST-1116,,649523,PROD-2116,ORD-3116,117,Standard Class,09-01-2024,Corporate,Office Supplies,Tables,India,Punjab,Jalandhar
01-08-2021,South,Clothing,65,64415,5,6783.05,Customer 118,CUST-1117,,744803,PROD-2117,ORD-3117,118,First Class,26-01-2024,Consumer,Technology,Chairs,India,Haryana,Panipat
01-08-2021,South,Furniture,433,155447,10,40445.73,Customer 119,CUST-1118,,375779,PROD-2118,ORD-3118,119,Standard Class,16-01-2024,Home Office,Furniture,Accessories,India,Uttar Pradesh,Noida
01-08-2021,South,Groceries,445,395605,10,90458.11,Customer 120,CUST-1119,,711498,PROD-2119,ORD-3119,120,Standard Class,04-01-2024,Corporate,Technology,Storage,India,Madhya Pradesh,Gwalior
01-08-2021,East,Electronics,466,538696,10,142284.64,Customer 121,CUST-1120,,786100,PROD-2120,ORD-3120,121,Standard Class,10-01-2024,Consumer,Office Supplies,Storage,India,Bihar,Bhagalpur
01-08-2021,East,Clothing,317,570600,0,131407.44,Customer 122,CUST-1121,,785037,PROD-2121,ORD-3121,122,Second Class,24-01-2024,Consumer,Furniture,Chairs,India,West Bengal,Durgapur
01-08-2021,East,Furniture,92,163668,20,18637.25,Customer 123,CUST-1122,,129185,PROD-2122,ORD-3122,123,Second Class,09-01-2024,Corporate,Furniture,Storage,India,Odisha,Rourkela
01-08-2021,East,Groceries,144,219600,5,23671.26,Customer 124,CUST-1123,,587141,PROD-2123,ORD-3123,124,Same Day,29-01-2024,Corporate,Office Supplies,Tables,India,Telangana,Nizamabad
01-08-2021,West,Electronics,291,68094,0,15739.56,Customer 125,CUST-1124,,492317,PROD-2124,ORD-3124,125,Second Class,04-01-2024,Home Office,Furniture,Binders,India,Andhra Pradesh,Guntur
01-08-2021,West,Clothing,142,165998,5,27908.4,Customer 126,CUST-1125,,784221,PROD-2125,ORD-3125,126,Second Class,13-01-2024,Corporate,Furniture,Phones,India,Chhattisgarh,Durg
01-08-2021,West,Furniture,164,133824,15,31927.47,Customer 127,CUST-1126,,652788,PROD-2126,ORD-3126,127,Standard Class,22-01-2024,Corporate,Technology,Phones,India,Jharkhand,Dhanbad
01-08-2021,West,Groceries,163,279708,10,77057.99,Customer 128,CUST-1127,,581675,PROD-2127,ORD-3127,128,Standard Class,23-01-2024,Corporate,Technology,Chairs,India,Assam,Dibrugarh
01-09-2021,North,Electronics,469,435232,20,127747.6,Customer 129,CUST-1128,,588416,PROD-2128,ORD-3128,129,First Class,22-01-2024,Consumer,Office Supplies,Binders,India,Himachal Pradesh,Dharamshala
01-09-2021,North,Clothing,213,344421,20,86147.6,Customer 130,CUST-1129,,372985,PROD-2129,ORD-3129,130,Standard Class,05-01-2024,Corporate,Furniture,Chairs,India,Uttarakhand,Haldwani
01-09-2021,North,Furniture,241,226058,0,55684.77,Customer 131,CUST-1130,,642101,PROD-2130,ORD-3130,131,Standard Class,05-01-2024,Home Office,Office Supplies,Accessories,India,Goa,Vasco da Gama
01-09-2021,North,Groceries,85,100045,0,25539.75,Customer 132,CUST-1131,,359150,PROD-2131,ORD-3131,132,Same Day,17-01-2024,Home Office,Furniture,Phones,India,Sikkim,Gyalshing
01-09-2021,South,Electronics,201,173262,20,25594.15,Customer 133,CUST-1132,,220127,PROD-2132,ORD-3132,133,Same Day,03-01-2024,Consumer,Furniture,Tables,India,Maharashtra,Mumbai
01-09-2021,South,Clothing,232,405536,0,59876.27,Customer 134,CUST-1133,,255446,PROD-2133,ORD-3133,134,Same Day,22-01-2024,Home Office,Furniture,Accessories,India,Karnataka,Bengaluru
01-09-2021,South,Furniture,335,501160,0,100758.46,Customer 135,CUST-1134,,822710,PROD-2134,ORD-3134,135,Second Class,06-01-2024,Consumer,Office Supplies,Phones,India,Tamil Nadu,Chennai
01-09-2021,South,Groceries,417,386976,20,108006.8,Customer 136,CUST-1135,,437174,PROD-2135,ORD-3135,136,First Class,20-01-2024,Home Office,Office Supplies,Accessories,India,Kerala,Kochi
